# DCT3 broker / MDI trace-event names — NHM-5 (3310 family)
#
# Maps a 16-bit DCT3 trace event-id (the value the firmware hands BROKER_ROUTER /
# BROKER_DELIVER) to its functional name, e.g.  1802  MDI:m2d/CHANNEL_CONFIGURE.
# Consumed by tools/trace_names.h (BROKERLOG) — native tooling only.
#
# PROVENANCE / LICENSE: these are FACTS — the firmware's own Nokia subsystem and
# GSM/protocol message labels. They are cross-referenced against the public
# gammu/dct3trac NHM-5 dictionary (GPLv2, github.com/gammu/gammu), but ONLY the
# bare id->name mapping is transcribed and normalized here; gammu's file text,
# structure, category banners, module/offset hints and per-index annotations are
# NOT reproduced. A list of short functional names keyed by id is not copyrightable
# expression (cf. Feist v. Rural), so this file carries no GPL obligation. Where our
# own RE has independently established a name, ours takes precedence.
#
# Regenerate:  tools/symbols/gen_trace_names.py [INPUT] [OUTPUT]
# Format:  <id:4-hex> <space> <CATEGORY:sub/NAME>   (banners / comments start non-hex)
0900 CS:err/INVALID_PRIMITIVE
0901 CS:err/UNKNOWN_PRIMITIVE
0902 CS:err/UNDEFINED_PRIMITIVE
0903 CS:err/L1_UNKNOWN_MDI_MSG_SEND
0904 CS:err/HPLMN_READ_FAIL
0905 CS:err/L1_M82_UNKNOWN_TIMING_OFFSET
0906 CS:err/UNKNOWN_SSUPL_CM_RET_VALUE
0907 CS:err/UNKNOWN_MODE
0908 CS:err/UNKNOWN_PDU
0909 CS:err/UNDEFINED_PDU
090A CS:err/UNDEFINED_TIMER
090B CS:err/FATAL_ERROR_IN_L2_PDU
090C CS:err/UNKNOWN_INFO_ELEMENT
090D CS:err/TRAN_ID_CONFLICT
090E CS:err/UNKNOWN_ERROR_CODE
090F CS:err/L2_ERROR
0910 CS:err/RR_ERROR
0911 CS:err/MM_ERROR
0912 CS:err/CC_ERROR
0913 CS:err/SS_ERROR
0914 CS:err/CS_ERROR
0915 CS:err/RM_ERROR
0916 CS:err/LAPDM_CONT_RS_FAIL
0917 CS:err/LAPDM_INVALID_RESP
0918 CS:err/LAPDM_SEQUENCE_ERROR
0919 CS:err/LAPDM_TIMEOUT_ERROR
091A CS:err/LAPDM_AWAIT_EST_ERROR
091B CS:err/LAPDM_UNSOL_DM_IN_MF_EST
1000 Const/CHANNEL_CONFIG
1001 Const/DSF
1002 Const/RLT
1003 Const/PWR_TA
1004 Const/PWR
1005 Const/TIM_ADV
1006 Const/MEAS_RESULTS
1007 Const/OWN_SYSPAR
1008 Const/NBOUR_SYSPAR
1100 L1:timer/BCCH_TIMEOUT-start
1101 L1:timer/BCCH_TIMEOUT-stop
1102 L1:timer/BCCH_TIMEOUT-timeout
1103 L1:timer/RESEL_TIME-start
1104 L1:timer/RESEL_TIME-stop
1105 L1:timer/RESEL_TIME-timeout
1106 L1:timer/IMM_ASS_DELAY-start
1107 L1:timer/IMM_ASS_DELAY-stop
1108 L1:timer/IMM_ASS_DELAY-timeout
1109 L1:timer/EXT_PAGE_MODE-start
110A L1:timer/EXT_PAGE_MODE-stop
110B L1:timer/EXT_PAGE_MODE-timeout
110C L1:timer/SYNC_PERIOD-start
110D L1:timer/SYNC_PERIOD-stop
110E L1:timer/SYNC_PERIOD-timeout
110F L1:timer/SC1_NEG-start
1110 L1:timer/SC1_NEG-stop
1111 L1:timer/SC1_NEG-timeout
1112 L1:timer/NCX_GREAT-start
1113 L1:timer/NCX_GREAT-stop
1114 L1:timer/NCX_GREAT-timeout
1115 L1:timer/LAST_RESEL-start
1116 L1:timer/LAST_RESEL-stop
1117 L1:timer/LAST_RESEL-timeout
1118 L1:timer/FORBIDDEN_CELLS-start
1119 L1:timer/FORBIDDEN_CELLS-stop
111A L1:timer/FORBIDDEN_CELLS-timeout
111B L1:timer/CS_SCANN-start
111C L1:timer/CS_SCANN-stop
111D L1:timer/CS_SCANN-timeout
111E L1:timer/WEAK_NEIGH-start
111F L1:timer/WEAK_NEIGH-stop
1120 L1:timer/WEAK_NEIGH-timeout
1121 L1:timer/MEAS_REQ-start
1122 L1:timer/MEAS_REQ-stop
1123 L1:timer/MEAS_REQ-timeout
1124 L1:timer/OWN_BCCH_PER-start
1125 L1:timer/OWN_BCCH_PER-stop
1126 L1:timer/OWN_BCCH_PER-timeout
1127 L1:timer/OLD_SCELL-start
1128 L1:timer/OLD_SCELL-stop
1129 L1:timer/OLD_SCELL-timeout
112A L1:timer/PLMN_SEARCH-start
112B L1:timer/PLMN_SEARCH-stop
112C L1:timer/PLMN_SEARCH-timeout
1800 MDI:m2d/INVALID_MDI_MSG
1801 MDI:m2d/INVALID_MDI_MSG
1802 MDI:m2d/CHANNEL_CONFIGURE
1803 MDI:m2d/DEACTIVATE
1804 MDI:m2d/CBCH
1805 MDI:m2d/FROM_MCU_TO_FBUS
1806 MDI:m2d/CIPHER_KEY
1807 MDI:m2d/MEAS_PLMN_RSSI
1808 MDI:m2d/TYPE_TEST_ENABLED
1809 MDI:m2d/PSW_SEARCH_LIST
180A MDI:m2d/INVALID_MDI_MSG
180B MDI:m2d/HOPPING_PARAMETERS
180C MDI:m2d/IDLE_RA
180D MDI:m2d/MODULATOR_TABLE
180E MDI:m2d/MODULATOR_DC_OFFSET
180F MDI:m2d/NEIGHBOUR_LIST
1810 MDI:m2d/NEXT_BCCH
1811 MDI:m2d/NMEAS_INSTRUCTIONS
1812 MDI:m2d/INVALID_MDI_MSG
1813 MDI:m2d/ON_OFF_CIPHER
1814 MDI:m2d/CIPHER_PARAMETERS
1815 MDI:m2d/INVALID_MDI_MSG
1816 MDI:m2d/INVALID_MDI_MSG
1817 MDI:m2d/INVALID_MDI_MSG
1818 MDI:m2d/INVALID_MDI_MSG
1819 MDI:m2d/INVALID_MDI_MSG
181A MDI:m2d/SEARCH_LIST
181B MDI:m2d/SEND_BLOCK
181C MDI:m2d/INVALID_MDI_MSG
181D MDI:m2d/INVALID_MDI_MSG
181E MDI:m2d/INVALID_MDI_MSG
181F MDI:m2d/TX_CONTROL
1820 MDI:m2d/INVALID_MDI_MSG
1821 MDI:m2d/INVALID_MDI_MSG
1822 MDI:m2d/INVALID_MDI_MSG
1823 MDI:m2d/INVALID_MDI_MSG
1824 MDI:m2d/INVALID_MDI_MSG
1825 MDI:m2d/INVALID_MDI_MSG
1826 MDI:m2d/INVALID_MDI_MSG
1827 MDI:m2d/INVALID_MDI_MSG
1828 MDI:m2d/IR_LINK_STATUS
1829 MDI:m2d/INVALID_MDI_MSG
182A MDI:m2d/INVALID_MDI_MSG
182B MDI:m2d/INVALID_MDI_MSG
182C MDI:m2d/DSP_CONSTANTS
182D MDI:m2d/INVALID_MDI_MSG
182E MDI:m2d/INVALID_MDI_MSG
182F MDI:m2d/INVALID_MDI_MSG
1830 MDI:m2d/TX_ENABLE
1831 MDI:m2d/MEAS_REQ_ON
1832 MDI:m2d/INVALID_MDI_MSG
1833 MDI:m2d/INVALID_MDI_MSG
1834 MDI:m2d/INVALID_MDI_MSG
1835 MDI:m2d/INVALID_MDI_MSG
1836 MDI:m2d/DISCHARGE
1837 MDI:m2d/INVALID_MDI_MSG
1838 MDI:m2d/TYPE_LOOP_BACK
1839 MDI:m2d/PARAMETER_UPDATE
183A MDI:m2d/RX_TX_CONTROL
183B MDI:m2d/TEMPERATURE
183C MDI:m2d/DSP_PARAMETERS
183D MDI:m2d/INVALID_MDI_MSG
183E MDI:m2d/DTX_CONTROL
183F MDI:m2d/POWER_LEVEL_RAMP
1840 MDI:m2d/INVALID_MDI_MSG
1841 MDI:m2d/IGNORE_CBCH_MESSAGE
1842 MDI:m2d/CBCH_BITMAP
1843 MDI:m2d/INVALID_MDI_MSG
1844 MDI:m2d/INVALID_MDI_MSG
1845 MDI:m2d/OWN_BCCH
1846 MDI:m2d/MSI
1847 MDI:m2d/LOOP_BACK
1848 MDI:m2d/LOOP_BACK_SHORT
1849 MDI:m2d/RTC_CALIBRATION_REQUEST
184A MDI:m2d/TXC_BIAS_RESULT
184B MDI:m2d/MORE_RSSI
184C MDI:m2d/FBUS_MODE
184D MDI:m2d/SEND_DTE_DATA_BLOCK
184E MDI:m2d/SEND_IRLAP_DATA_BLOCK
184F MDI:m2d/DATA_CODING_MODE
1850 MDI:m2d/SEND_TCH_DATA_BLOCK
1851 MDI:m2d/INVALID_MDI_MSG
1852 MDI:m2d/INVALID_MDI_MSG
1853 MDI:m2d/INVALID_MDI_MSG
1854 MDI:m2d/INVALID_MDI_MSG
1855 MDI:m2d/INVALID_MDI_MSG
1856 MDI:m2d/INVALID_MDI_MSG
1857 MDI:m2d/INVALID_MDI_MSG
1858 MDI:m2d/INVALID_MDI_MSG
1859 MDI:m2d/INVALID_MDI_MSG
185A MDI:m2d/INVALID_MDI_MSG
185B MDI:m2d/INVALID_MDI_MSG
185C MDI:m2d/INVALID_MDI_MSG
185D MDI:m2d/INVALID_MDI_MSG
185E MDI:m2d/INVALID_MDI_MSG
185F MDI:m2d/INVALID_MDI_MSG
1860 MDI:m2d/INVALID_MDI_MSG
1861 MDI:m2d/INVALID_MDI_MSG
1862 MDI:m2d/INVALID_MDI_MSG
1863 MDI:m2d/INVALID_MDI_MSG
1864 MDI:m2d/INVALID_MDI_MSG
1865 MDI:m2d/INVALID_MDI_MSG
1866 MDI:m2d/INVALID_MDI_MSG
1867 MDI:m2d/INVALID_MDI_MSG
1868 MDI:m2d/INVALID_MDI_MSG
1869 MDI:m2d/INVALID_MDI_MSG
186A MDI:m2d/INVALID_MDI_MSG
186B MDI:m2d/INVALID_MDI_MSG
186C MDI:m2d/INVALID_MDI_MSG
186D MDI:m2d/INVALID_MDI_MSG
186E MDI:m2d/INVALID_MDI_MSG
186F MDI:m2d/INVALID_MDI_MSG
1870 MDI:m2d/COMMAND_LOCAL
1871 MDI:m2d/INVALID_MDI_MSG
1872 MDI:m2d/INVALID_MDI_MSG
1873 MDI:m2d/INVALID_MDI_MSG
1874 MDI:m2d/RESPONSE_LOCAL
1875 MDI:m2d/INVALID_MDI_MSG
1876 MDI:m2d/INVALID_MDI_MSG
1877 MDI:m2d/INVALID_MDI_MSG
1878 MDI:m2d/INVALID_MDI_MSG
1879 MDI:m2d/INVALID_MDI_MSG
187A MDI:m2d/INVALID_MDI_MSG
187B MDI:m2d/INVALID_MDI_MSG
187C MDI:m2d/INVALID_MDI_MSG
187D MDI:m2d/INVALID_MDI_MSG
187E MDI:m2d/INVALID_MDI_MSG
187F MDI:m2d/INVALID_MDI_MSG
1880 MDI:m2d/RECEIVED_BLOCK
1881 MDI:m2d/MEAS_REQUEST
1882 MDI:m2d/INVALID_MDI_MSG
1883 MDI:m2d/RSSI_RESULTS
1884 MDI:m2d/RA_INFO
1885 MDI:m2d/INVALID_MDI_MSG
1886 MDI:m2d/BLOCK_REQUEST
1887 MDI:m2d/NO_BCCH_LEFT
1888 MDI:m2d/NEIGHBOUR_TIMING_OFFSET
1889 MDI:m2d/CHANNEL_CHANGED_CNF
188A MDI:m2d/NO_PSW_FOUND
188B MDI:m2d/ALL_RSSI_RESULTS
188C MDI:m2d/DOWNLINK_SIGNALLING_FAIL
188D MDI:m2d/FBUS_DISCONNECTED
188E MDI:m2d/FROM_FBUS_TO_MCU
188F MDI:m2d/NO_PSW_LEFT
